,date,name,format,link
0,2011-09-18 00:00:00,Triathlon de Vaulx-en-Velin,Sprint,/triathlon-vaulx-resultats-1104.htm
1,2011-09-11 00:00:00,Triathlon d'Aix-les-Bains,Courte Distance,/triathlon-aix-les-bains-resultats-1097.htm
2,2011-09-11 00:00:00,Triathlon d'Aix-les-Bains,Super-Sprint,/triathlon-aix-les-bains-resultats-1096.htm
3,2011-09-04 00:00:00,Triathlon du Lac d'Aiguebelette,Sprint,/triathlon-lac-aiguebelette-resultats-1089.htm
4,2011-08-28 00:00:00,Triathlon du Mont-Blanc - Passy,Courte Distance,/triathlon-mont-blanc-passy-resultats-1081.htm
5,2011-08-28 00:00:00,Triathlon du Mont-Blanc - Passy,Sprint,/triathlon-mont-blanc-passy-resultats-1082.htm
6,2011-08-15 00:00:00,Triathlon de Lamastre,Sprint,/triathlon-lamastre-resultats-1076.htm
7,2011-07-30 00:00:00,Triathlon des collines,Sprint,/triathlon-des-collines-resultats-1074.htm
8,2011-07-28 00:00:00,Triathlon de l'Alpe d'Huez,Courte Distance,/triathlon-alpe-huez-resultats-1073.htm
9,2011-07-27 00:00:00,Triathlon de l'Alpe d'Huez,Longue Distance,/triathlon-alpe-huez-resultats-1072.htm
10,2011-07-17 00:00:00,Triathlon de Thonon,Courte Distance,/triathlon-thonon-resultats-1071.htm
11,2011-07-10 00:00:00,Triathlon nature du Valbonnais,Sprint,/triathlon-nature-valbonnais-resultats-1063.htm
12,2011-07-03 00:00:00,Triathlon d'Annecy,Courte Distance,/triathlon-annecy-resultats-1058.htm
13,2011-06-26 00:00:00,Triathlon de Montélimar,Courte Distance,/triathlon-montelimar-resultats-1055.htm
14,2011-06-19 00:00:00,Triathlon du Lac des Sapins,Moyenne Distance,/triathlon-lac-sapins-cublize-resultats-1051.htm
15,2011-06-19 00:00:00,Triathlon du Lac des Sapins,Courte Distance,/triathlon-lac-sapins-cublize-resultats-1052.htm
16,2011-06-12 00:00:00,Triathlon de l'île Barlet,Courte Distance,/triathlon-ile-barlet-resultats-1039.htm
17,2011-06-05 00:00:00,Triathlon de Doussard,Half-Ironman,/half-doussard-resultats-1034.htm
18,2011-05-29 00:00:00,Triathlon de Bourg,Sprint,/triathlon-bourg-bouvent-resultats-1029.htm
19,2011-05-29 00:00:00,Triathlon de Bourg-en-Bresse,Courte Distance,/triathlon-bourg-bouvent-resultats-1028.htm
20,2011-05-22 00:00:00,Triathlon de Rumilly,Courte Distance,/triathlon-rumilly-resultats-1025.htm
21,2011-05-22 00:00:00,Triathlon du Tricastin,Courte Distance,/triathlon-tricastin-resultats-1022.htm
22,2011-05-22 00:00:00,Triathlon de Rumilly,Super Sprint,/triathlon-rumilly-resultats-1026.htm
23,2011-05-22 00:00:00,Triathlon du Tricastin,Sprint,/triathlon-tricastin-resultats-1023.htm
24,2011-05-08 00:00:00,Triathlon de Valence,Sprint,/triathlon-valence-resultats-1011.htm
25,2011-05-01 00:00:00,Triathlon de Romans,Sprint,/triathlon-romans-resultats-1002.htm
26,2011-05-01 00:00:00,Triathlon de Romans,Super-Sprint,/triathlon-romans-resultats-1003.htm
27,2011-04-10 00:00:00,Triathlon des Vallons du Lyonnais,Super Sprint,/triathlon-vallons-lyonnais-vaugneray-resultats-986.htm
