,date,name,format,link
0,2010-09-26 00:00:00,Triathlon des sources du lac,Moyenne Distance 3/80/20,/triathlon-doussard-resultats-864.htm
1,2010-09-19 00:00:00,Triathlon de Vaulx-Villeurbanne,Sprint,/triathlon-miribel-jonage-resultats-853.htm
2,2010-09-12 00:00:00,Triathlon d'Aix-les-Bains,Super Sprint,/triathlon-aix-les-bains-resultats-850.htm
3,2010-09-12 00:00:00,Triathlon d'Aix-les-Bains,Courte Distance,/triathlon-aix-les-bains-resultats-846.htm
4,2010-09-05 00:00:00,Triathlon d'Aiguebelette,Sprint,/triathlon-aiguebelette-resultats-843.htm
5,2010-08-29 00:00:00,Triathlon du Mont Blanc,Courte Distance,/triathlon-mont-blanc-passy-resultats-837.htm
6,2010-08-29 00:00:00,Triathlon du Mont Blanc,Sprint,/triathlon-mont-blanc-passy-resultats-838.htm
7,2010-08-28 00:00:00,Triathlon des collines,Sprint,/triathlon-collines-st-barthelemy-vals-resultats-834.htm
8,2010-08-15 00:00:00,Triathlon de Lamastre,Sprint,/triathlon-vernoux-lamastre-resultats-831.htm
9,2010-07-29 00:00:00,Triathlon de l'Alpe d'Huez,Courte Distance,/triathlon-alpe-huez-resultats-828.htm
10,2010-07-28 00:00:00,Triathlon de l'Alpe d'Huez,Longue Distance,/triathlon-alpe-huez-resultats-827.htm
11,2010-07-18 00:00:00,Triathlon de Thonon,Courte Distance,/triathlon-thonon-resultats-824.htm
12,2010-07-11 00:00:00,Triathlon nature du Valbonnais,Sprint VTT,/triathlon-valbonnais-resultats-817.htm
13,2010-07-04 00:00:00,Triathlon d'Annecy,Courte Distance,/triathlon-annecy-resultats-813.htm
14,2010-06-20 00:00:00,Triathlon du Lac des Sapins,Moyenne Distance,/triathlon-lac-sapins-cublize-resultats-805.htm
15,2010-06-20 00:00:00,Triathlon du Lac des Sapins,Courte Distance,/triathlon-lac-sapins-cublize-resultats-804.htm
16,2010-06-13 00:00:00,Triathlon de Roanne-Villerest,Courte Distance,/triathlon-roanne-villerest-resultats-803.htm
17,2010-06-13 00:00:00,Triathlon de Roanne-Villerest,Sprint,/triathlon-roanne-villerest-resultats-802.htm
18,2010-06-06 00:00:00,Triathlon de Rumilly,Courte Distance,/triathlon-rumilly-resultats-786.htm
19,2010-06-06 00:00:00,Triathlon de Rumilly,Super Sprint,/triathlon-rumilly-resultats-791.htm
20,2010-05-30 00:00:00,Triathlon de Bourg,Courte Distance,/triathlon-bourg-resultats-777.htm
21,2010-05-30 00:00:00,Triathlon de Bourg,Sprint,/triathlon-bourg-resultats-778.htm
22,2010-05-23 00:00:00,Mutriman Loire,Sprint,/multriman-triathlon-resultats-774.htm
23,2010-05-09 00:00:00,Triathlon de Valence,Sprint,/triathlon-valence-resultats-760.htm
24,2010-05-02 00:00:00,Triathlon de Romans-Roybon,Sprint,/triathlon-romans-roybon-resultats-757.htm
25,2010-04-25 00:00:00,Trimax,Triathlon VTT Sprint en deux manches,/trimax-st-priest-resultats-754.htm
26,2010-04-11 00:00:00,Triathlon des Vallons du Lyonnais,Super Sprint,/triathlon-vallons-lyonnais-resultats-744.htm
