,date,name,format,link
0,2014-09-21 00:00:00,Triathlon de Vaulx-en-Velin,XS,/triathlon-vaulx-en-velin-resultats-1834.htm
1,2014-09-21 00:00:00,Triathlon de Vaulx-en-Velin,S,/triathlon-vaulx-en-velin-resultats-1833.htm
2,2014-09-14 00:00:00,Triathlon d'Aix-les-Bains,XS,/triathlon-aix-les-bains-resultats-1831.htm
3,2014-09-14 00:00:00,Triathlon d'Aix-les-Bains,M,/triathlon-aix-les-bains-resultats-1830.htm
4,2014-09-07 00:00:00,Triathlon de St Pierre d'Albigny,S,/triathlon-st-pierre-d-albigny-resultats-1824.htm
5,2014-08-24 00:00:00,Triathlon du Mont Blanc,S,/triathlon-mont-blanc-resultats-1820.htm
6,2014-08-24 00:00:00,Triathlon du Mont Blanc,M,/triathlon-mont-blanc-resultats-1819.htm
7,2014-08-23 00:00:00,Triathlon des Gorges de l'Ardèche,M,/triathlon-gorges-ardeche-resultats-1815.htm
8,2014-08-22 00:00:00,Triathlon des Gorges de l'Ardèche,S,/triathlon-gorges-ardeche-resultats-1814.htm
9,2014-08-22 00:00:00,Triathlon des Gorges de l'Ardèche,XS,/triathlon-gorges-ardeche-resultats-1813.htm
10,2014-08-15 00:00:00,Triathlon de Lamastre,S,/triathlon-lamastre-resultats-1812.htm
11,2014-07-31 00:00:00,Triathlon de l'Alpe d'Huez,M,/triathlon-alpe-huez-resultats-1803.htm
12,2014-07-30 00:00:00,Triathlon de l'Alpe d'Huez,XL,/triathlon-alpe-huez-resultats-1802.htm
13,2014-07-20 00:00:00,Triathlon des collines,XS,/triathlon-des-collines-resultats-1792.htm
14,2014-07-20 00:00:00,Triathlon des collines,S,/triathlon-des-collines-resultats-1791.htm
15,2014-07-16 00:00:00,Fitdays Lac du Sautet,XS,/fitdays-lac-sautet-resultats-1800.htm
16,2014-07-16 00:00:00,Fitdays Lac du Sautet,XS,/fitdays-lac-sautet-resultats-1799.htm
17,2014-07-13 00:00:00,Triathlon de Thonon,M,/triathlon-thonon-resultats-1785.htm
18,2014-07-13 00:00:00,Triathlon de Thonon,XS,/triathlon-thonon-resultats-1786.htm
19,2014-07-06 00:00:00,Triathlon du Lac de Machilly,XS,/triathlon-lac-machilly-resultats-1778.htm
20,2014-07-06 00:00:00,Triathlon du Valbonnais,M - VTT,/triathlon-valbonnais-resultats-1779.htm
21,2014-07-06 00:00:00,Triathlon du Valbonnais,XS - VTT,/triathlon-valbonnais-resultats-1780.htm
22,2014-07-06 00:00:00,Triathlon du Lac de Machilly,S - CLM individuel,/triathlon-lac-machilly-resultats-1777.htm
23,2014-06-29 00:00:00,Triathlon d'Annecy,M,/triathlon-annecy-resultats-1775.htm
24,2014-06-15 00:00:00,Triathlon du Lac des Sapins,M,/triathlon-lac-sapins-cublize-resultats-1745.htm
25,2014-06-15 00:00:00,Triathlon du Lac des Sapins,L,/triathlon-lac-sapins-cublize-resultats-1744.htm
26,2014-06-08 00:00:00,Triathlon de Roanne,M,/triathlon-roanne-resultats-1725.htm
27,2014-06-08 00:00:00,Half Doussard,Half-Ironman,/half-doussard-resultats-1727.htm
28,2014-06-08 00:00:00,Triathlon de Valence,XS,/triathlon-valence-resultats-1724.htm
29,2014-06-08 00:00:00,Triathlon de Roanne,S,/triathlon-roanne-resultats-1731.htm
30,2014-06-01 00:00:00,Triathlon de l'île Barlet,M,/triathlon-barlet-resultats-1721.htm
31,2014-05-25 00:00:00,Triathlon de Bourg-en-Bresse,M,/triathlon-bourg-resultats-1714.htm
32,2014-05-25 00:00:00,Triathlon de Bourg-en-Bresse,S,/triathlon-bourg-resultats-1715.htm
33,2014-05-18 00:00:00,Half Iron du Semnoz,L,/semnoz-rumilly-resultats-1716.htm
34,2014-05-18 00:00:00,Triathlon de Rumilly,XS,/-resultats-1710.htm
35,2014-05-18 00:00:00,Triathlon de Rumilly,M,/-resultats-1709.htm
36,2014-05-11 00:00:00,Triathlon du Tricastin,M,/triathlon-tricastin-resultats-1707.htm
37,2014-05-10 00:00:00,Triathlon du Tricastin,XS - benjamins minimes,/triathlon-tricastin-resultats-1706.htm
38,2014-05-10 00:00:00,Triathlon du Tricastin,S - cadets juniors,/triathlon-tricastin-resultats-1705.htm
39,2014-05-04 00:00:00,Triathlon du Dauphiné,XS,/triathlon-dauphine-resultats-1702.htm
40,2014-05-04 00:00:00,Triathlon du Dauphiné,S,/triathlon-dauphine-resultats-1701.htm
